file,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-896.1973,13.431423,11.376569,8.495565,5.4185877,2.7300274,0.8097648,-0.238539,-0.5570654,-0.42721963,-0.13965875,0.1047542,0.22995555
prat.wav,-895.8573,13.644675,10.914479,7.270817,3.7004437,1.0095471,-0.43566185,-0.7638568,-0.4470505,-0.033529162,0.10098767,-0.12538666,-0.5421872
prat.wav,-898.24414,10.374435,7.9736834,4.898815,2.099446,0.25669605,-0.4539955,-0.337888,0.06391275,0.28729913,0.15503088,-0.21042734,-0.5440293
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-904.78296,1.1472194,0.49751183,1.4761081,1.6467459,0.3821488,0.31510752,1.2682525,0.68730986,-0.4499856,0.10665032,0.7042127,-0.3702764
prat.wav,-895.259,10.680031,6.6905336,11.165339,11.785577,4.572394,2.7406187,6.6332264,3.7063184,-2.5513089,-1.1370335,1.4255033,-3.0986238
prat.wav,-887.23334,19.531778,11.537895,14.949203,16.09398,7.7022157,3.233365,5.0457783,1.1328819,-5.5520897,-4.168271,-0.7222639,-3.3425248
prat.wav,-880.2169,29.64724,17.490215,12.387209,11.863388,8.841017,4.1644373,0.024634153,-5.1629295,-9.927191,-9.827467,-5.4930034,-1.2831428
prat.wav,-876.3939,34.262333,18.365765,7.8905616,6.183693,6.3533607,2.585698,-4.1261587,-9.87833,-12.576038,-12.089182,-8.9185915,-4.7944274
prat.wav,-878.67224,33.464012,21.873932,12.901945,9.112873,5.7909,-1.1412132,-9.436693,-13.772049,-12.381474,-8.526583,-6.1669397,-5.9407234
prat.wav,-897.72144,11.498211,9.99846,7.7192106,4.953107,2.0413768,-0.67897284,-2.924399,-4.502018,-5.328994,-5.4318466,-4.9279737,-3.9940534
prat.wav,-906.16046,0.086813115,0.08679445,0.08676082,0.08671412,0.086656265,0.08658536,0.08649951,0.08639684,0.08629066,0.08616767,0.08602982,0.08587901
prat.wav,-895.82996,11.0378685,4.8770227,3.0877757,4.5488415,3.6570206,-0.0009688679,-2.1730886,-1.9266853,-2.4587543,-4.425419,-4.420314,-1.039476
prat.wav,-880.5872,26.43633,7.943593,-1.1635273,2.556262,9.057512,10.259305,5.821481,-1.5048276,-8.660164,-12.024401,-9.040997,-1.1149609
prat.wav,-876.6066,30.081459,6.5335436,-6.9231057,-2.0985663,10.26511,15.65663,9.775311,-2.080577,-12.558802,-16.011261,-9.785931,2.4311638
prat.wav,-886.22894,18.88152,0.07516104,-10.629444,-6.2582874,4.641038,9.609222,4.392347,-6.207011,-14.528288,-14.85947,-6.009734,6.6377316
prat.wav,-898.742,7.6965623,1.4688494,-3.0407794,-2.6698413,1.102046,3.703782,1.832721,-3.4243865,-7.5727262,-6.8483496,-1.6771626,3.7098203
prat.wav,-906.2218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prat.wav,-896.96594,-0.78608227,-6.5062704,10.122098,4.9097567,-9.525251,2.9896107,8.498894,-8.010773,-4.3445816,8.992732,-2.6106434,-8.493185
prat.wav,-885.6706,-3.1922092,-15.909607,22.362415,9.321172,-22.434464,6.784913,17.260347,-18.4252,-8.091369,18.761852,-6.090349,-15.306451
prat.wav,-833.55115,45.639046,7.2979536,50.877483,28.418581,-27.647507,-3.8912883,5.3838367,-35.43135,-19.93738,7.613017,-25.650671,-30.240593
prat.wav,-759.38275,109.98636,12.544605,51.328575,46.413094,-21.342545,-20.38332,-7.3835855,-28.735102,-12.798122,0.9811733,-30.171003,-24.012772
prat.wav,-702.5485,153.38266,-2.2403264,28.053131,50.18803,-7.5363674,-18.37131,-9.973728,-26.297188,-12.724103,-1.9614388,-25.689213,-16.72089
prat.wav,-666.61194,184.36139,-13.300295,-0.11884749,45.777657,4.6978827,-16.118158,-10.547037,-20.826538,-11.423473,-4.182779,-25.019066,-16.566454
prat.wav,-656.18884,195.38107,-12.98561,-3.9670289,52.436295,14.2907505,-17.143215,-12.530184,-17.27845,-12.949636,-9.500861,-24.222528,-12.708121
prat.wav,-662.93036,198.19678,-4.186973,-9.514941,47.77783,17.638935,-24.06672,-21.263687,-11.535505,-8.374715,-12.096024,-19.223763,-6.8263025
prat.wav,-642.4863,190.74464,-27.75504,2.8589756,52.437195,4.309066,-20.90914,-18.119278,-16.723248,-3.595901,-5.408352,-21.21736,-14.58136
prat.wav,-606.33844,193.89056,-46.273556,19.377417,53.44683,-4.1026726,-16.631454,-21.728043,-13.34721,3.4819355,-5.9909363,-15.31052,-17.206388
prat.wav,-580.2618,192.59337,-60.768417,31.414494,48.39335,-13.620335,-18.25281,-28.307686,-12.227901,-0.984424,-8.753746,-4.4640183,-19.721098
prat.wav,-560.2378,200.50726,-66.31607,34.874695,48.988495,-15.017462,-21.750443,-33.954693,-12.883071,-3.927938,-9.328837,-0.33883902,-20.759987
prat.wav,-596.7641,203.92014,-40.34565,12.193056,32.989204,-19.46099,-28.245773,-21.581573,-0.8158142,3.3196416,-2.5546088,-3.1934178,-21.828472
prat.wav,-612.02026,230.27496,-8.499592,-16.612467,20.269342,-9.228289,-34.776985,-18.660034,13.8999815,5.774872,-8.847419,5.0706444,-8.825504
prat.wav,-609.25745,236.38461,-4.8171225,-18.594658,17.860325,-12.7807045,-37.145008,-18.21491,12.157932,4.2967334,-7.792377,7.33536,-7.2039614
prat.wav,-618.02704,235.6444,-0.4249363,-19.110226,22.92043,-11.943878,-39.903652,-12.955589,15.876928,3.7155294,-11.586136,0.88050544,-5.258011
prat.wav,-624.02313,239.94713,4.2772274,-32.716206,14.972982,-10.1321,-39.903206,-7.695776,20.793625,2.600111,-12.77549,-4.7267756,-7.15946
prat.wav,-631.7747,241.10991,10.558977,-40.069145,9.436677,-4.586255,-34.52426,-7.4703293,16.505693,-0.18066412,-11.745539,-6.4918165,-5.4751353
prat.wav,-641.5408,235.63556,14.401018,-38.844597,10.997093,4.851824,-26.661165,-10.207595,11.04228,-1.6194792,-12.369996,-5.7245293,-1.284028
prat.wav,-644.75275,238.45258,21.026016,-43.958794,1.9200065,6.512338,-22.630375,-13.0786915,10.243384,1.5541899,-15.858151,-12.122559,0.8230949
prat.wav,-647.90106,234.84816,19.982435,-43.547707,1.9307246,8.56918,-18.435997,-12.2399235,6.7061443,-0.27237862,-13.895197,-10.965108,2.0052927
prat.wav,-643.6034,231.53357,10.501737,-41.367645,10.487169,11.238251,-20.312931,-16.773441,0.43197453,-3.6387691,-11.943243,-6.006153,2.6111019
prat.wav,-631.522,229.64542,-1.9607248,-33.52813,20.808884,10.204409,-17.674427,-11.37903,0.61667514,-5.769327,-12.873195,-3.1803224,3.9727428
prat.wav,-620.09753,225.69298,-15.251703,-25.049362,27.785599,7.7109194,-9.398157,-5.8591585,-4.8127437,-3.9036307,-8.880718,-7.530943,1.1612484
prat.wav,-615.6939,220.23694,-25.424494,-18.068079,38.49684,8.102028,-10.560499,-8.011732,-11.262127,-7.67008,-7.5239053,-4.139184,4.06193
prat.wav,-612.4364,217.44626,-31.769527,-16.06058,40.83683,4.2903304,-15.261778,-10.698072,-13.472917,-12.396101,-10.2339525,1.2961822,8.665955
prat.wav,-618.82434,212.25818,-27.915474,-8.495016,43.234184,3.1144392,-16.199339,-10.361235,-11.443354,-11.153389,-8.153657,5.1664963,8.710692
prat.wav,-624.3321,212.71336,-24.047844,-13.499383,41.62066,8.268255,-17.260918,-12.641761,-7.0913115,-8.767105,-9.113106,7.1371093,9.861158
prat.wav,-638.16266,210.97116,-17.154285,-23.245012,37.624695,16.32537,-17.836212,-14.912842,-0.9513022,-4.702946,-12.416213,3.6226602,12.193497
prat.wav,-654.8115,204.79681,-7.1334143,-23.02171,33.918304,18.880983,-18.423603,-17.508703,2.624533,-1.4641951,-16.14349,-0.023275137,15.320364
prat.wav,-663.73285,205.95035,5.453436,-21.45898,30.286098,20.591702,-19.26617,-22.358692,0.70008415,-1.289592,-17.131332,-0.83939326,16.917622
prat.wav,-671.6378,202.09276,7.078541,-23.154392,28.788792,16.393974,-26.607796,-21.50843,6.6168222,-0.95031637,-20.30832,-4.4712486,14.527184
prat.wav,-685.43774,195.00635,11.0725,-24.0917,27.133896,15.432436,-28.52341,-18.00299,10.861791,-1.4954553,-21.74226,-7.906131,13.546007
prat.wav,-693.97437,193.29004,17.795803,-28.118689,17.248388,14.534945,-26.571,-21.535357,9.191353,2.2035103,-19.614557,-8.2681465,13.59399
prat.wav,-700.662,190.59993,22.40139,-28.189823,12.473324,14.784454,-22.51202,-21.17265,7.920683,3.7385688,-18.915432,-10.842005,11.761772
prat.wav,-713.4862,182.1325,27.82924,-23.179317,11.015106,16.190233,-14.386715,-15.203693,6.5768647,1.096839,-18.08805,-10.654037,7.2509103
prat.wav,-736.56165,166.33319,37.651768,-12.803629,6.068164,9.596532,-9.9601,-9.883994,1.9335117,-4.644802,-13.613953,-2.624638,6.593859
prat.wav,-747.62335,157.98456,40.01426,-10.144161,4.8631544,11.877418,-2.5136967,-6.844739,-3.9035835,-11.035807,-13.543322,-0.3976127,4.8897543
prat.wav,-760.8598,150.64946,50.79417,2.813054,7.738541,10.405319,0.13695663,-1.4027462,0.8836176,-6.2411327,-10.159068,-2.7935877,-1.6608095
prat.wav,-782.26654,140.07352,71.84295,26.74749,9.608149,-0.58572525,-2.630486,6.823519,8.184964,-7.3360147,-17.298683,-9.603651,-3.5437512
prat.wav,-796.56116,132.87729,86.11539,45.499687,17.922459,0.097999364,-2.5301075,6.9078813,8.334612,-5.289461,-15.414331,-10.8047085,-4.772324
prat.wav,-810.21375,124.05403,94.07573,58.080727,28.012238,9.599155,1.4576502,-1.4836907,-3.6602855,-6.603983,-9.408627,-10.6663475,-10.043785
prat.wav,-822.43646,108.93599,85.49008,59.052628,37.441334,21.86826,10.272362,1.3500537,-5.117878,-9.595018,-12.537243,-13.438552,-11.6569195
prat.wav,-824.2061,107.89542,88.2977,66.40553,47.484047,30.654743,14.007801,-0.9351212,-10.832651,-14.716494,-14.731949,-13.259659,-10.964489
prat.wav,-822.583,109.07827,90.3454,70.10247,47.143784,27.258858,13.765238,0.57246006,-9.7626505,-12.9618635,-15.689617,-17.660303,-12.80831
prat.wav,-817.2835,114.52679,91.835144,68.19135,42.993988,23.337086,11.937159,-0.082737476,-9.701747,-11.130774,-12.85807,-15.555191,-11.840722
prat.wav,-783.81226,133.80478,68.99727,45.759193,47.342896,31.311083,-0.19023469,-20.62276,-17.018967,-4.142869,-6.465729,-17.79009,-12.577167
prat.wav,-731.1052,161.4307,36.74035,22.332779,47.75312,25.073181,-9.972227,-24.367912,-24.653793,-9.564015,0.5360756,-11.851796,-15.463741
prat.wav,-691.92993,179.70349,8.977243,7.0023975,55.41809,21.775509,-19.38787,-17.61089,-17.20515,-16.978092,-3.0244627,-3.2354517,-14.115393
prat.wav,-659.73914,199.43307,-4.242253,-1.8097422,59.298374,19.278568,-28.38463,-18.41851,-14.300705,-26.86619,-15.521865,1.454463,-4.731901
prat.wav,-636.09296,210.22856,-17.311605,-8.93354,55.58925,13.150993,-31.261715,-21.797405,-17.14355,-26.387867,-16.643806,2.264452,-0.8780441
prat.wav,-614.545,222.8124,-27.597027,-18.16502,53.047516,10.383236,-32.867565,-18.282825,-10.548985,-24.269964,-17.894571,7.6047745,6.647592
prat.wav,-610.2367,227.20457,-29.957584,-24.39869,51.51342,10.028469,-34.223335,-14.385966,-5.56601,-24.535446,-19.597801,5.471202,2.6878977
prat.wav,-608.84247,229.11398,-26.184265,-21.404228,47.027344,4.117544,-32.145267,-8.74324,0.14094448,-16.571487,-16.474426,-0.39490038,-1.4425508
prat.wav,-614.0857,226.44504,-22.283253,-21.291317,39.870148,1.5587245,-27.700378,-6.6249895,1.6725179,-12.05549,-14.58096,-0.63042307,-0.15796173
prat.wav,-630.24286,218.73318,-14.258634,-18.593113,40.338604,7.493146,-22.74635,-4.945467,2.4178345,-11.160986,-13.222889,-2.7280416,-5.2056885
prat.wav,-636.9354,218.35207,-9.576762,-21.964397,37.14154,7.7875085,-22.004585,0.8694044,8.293839,-10.729534,-11.63673,-0.35885495,-5.710604
prat.wav,-649.8844,218.71613,2.9268358,-25.87439,33.399002,14.795132,-21.36581,-1.2269282,11.970577,-10.091301,-13.847733,1.0739378,-4.0502377
