file,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
pong_1.wav,-406.98654,170.10378,-14.8257265,-17.98027,-3.5196443,10.322664,12.584801,9.103224,-10.718424,-5.4203687,4.827449,1.9322174,-0.86152613
pong_1.wav,-374.4558,165.6297,-16.484879,-20.195591,-2.798169,8.998345,14.220812,7.481802,-11.201307,-6.118128,0.41357464,2.0236773,-1.8268262
pong_1.wav,-373.77023,160.73593,-21.870686,-23.79898,-0.66469014,13.092207,17.62356,10.310743,-5.5962276,-5.522904,-1.6568432,2.0516646,-1.5860026
pong_1.wav,-377.39337,154.85564,-24.857311,-21.729973,-4.2289815,9.534065,10.845747,8.982958,-2.9928703,-4.760947,0.06666991,1.6589038,-4.494801
pong_1.wav,-377.248,160.30786,-17.060314,-21.797577,-9.206467,8.847865,10.135673,10.315853,-2.9921012,-3.309285,2.48869,1.4141515,-7.171396
pong_1.wav,-375.5906,165.37335,-9.530956,-18.65711,-4.6531878,11.486195,12.604481,15.540778,3.757968,2.362647,5.7833605,2.013041,-9.447945
pong_1.wav,-376.0956,163.28014,-10.109217,-17.461754,-1.9555367,11.172782,9.261982,14.35471,1.7393187,-1.0207387,5.2164288,3.9815238,-8.742998
pong_1.wav,-378.33905,164.23068,-11.086878,-23.718365,-7.8727503,8.61874,6.136533,11.195815,-8.7094755,-8.496567,-0.595363,-1.6968544,-5.8155413
pong_1.wav,-380.89032,163.54236,-9.464565,-21.432526,-3.080169,11.452392,14.457946,15.580038,-2.7338676,-5.4406266,2.956112,2.1548774,-3.0848703
pong_1.wav,-380.07028,166.85907,-7.6996546,-14.884069,2.5279317,14.282599,13.884479,12.669804,-1.1115077,-1.5787865,6.739912,8.405076,-3.068966
pong_1.wav,-379.60672,166.75209,-7.287502,-15.66041,-4.074355,8.910525,10.283636,12.508276,-1.484393,1.0349212,3.8999772,-1.3346877,-6.4286394
pong_1.wav,-376.96054,166.22485,-6.7624474,-14.735322,-2.3894002,8.712591,12.107513,11.346364,-1.6722337,1.4061455,0.619485,-5.059965,-6.3242474
pong_1.wav,-381.46744,160.64874,-8.029604,-15.55662,-0.6842087,7.7848234,14.58999,13.386826,-2.4237702,-2.0395942,2.2436435,-0.4618774,-1.2493315
pong_1.wav,-382.84268,158.67123,-6.27216,-7.685875,-0.11869657,9.050583,11.224085,13.121704,4.349118,-0.30780214,0.9657566,4.662116,-2.2202075
pong_1.wav,-383.08548,161.32289,-4.9073095,-4.3766546,0.8406144,13.390995,10.632997,14.070523,4.357689,-0.4628452,0.18973312,2.3678308,-7.16376
pong_1.wav,-383.00742,160.3487,-6.990975,-7.789341,-2.2556925,7.8323383,12.8155155,14.994588,-1.0081583,-4.0412817,1.8473418,-1.0646708,-4.132806
pong_1.wav,-380.45425,159.46053,-4.483967,-8.123577,0.68450576,8.442646,16.657112,12.287876,-2.7944555,-4.579681,-1.3942624,-1.751513,-0.20241423
pong_1.wav,-169.68282,108.83829,-22.96009,-13.392735,-70.96919,36.076725,5.4589143,13.236113,-10.2062435,-12.945045,16.128166,-0.60294294,9.745749
pong_1.wav,-87.71168,118.2408,-21.59998,-11.684906,-70.25201,39.140976,1.342858,11.058328,-11.744596,-16.4868,11.772172,-8.547027,4.500251
pong_1.wav,-116.494,139.83952,-27.098606,-11.05329,-66.31489,36.045242,-8.640688,11.180856,-13.173416,-23.32787,7.202511,-13.526279,1.2061969
pong_1.wav,-178.48889,159.50146,-34.295338,2.2907588,-60.66796,34.93677,-25.662565,17.936008,-14.801588,-24.180178,2.3630848,-16.397053,-5.099684
pong_1.wav,-179.84302,147.45964,-30.041157,13.259429,-59.576942,39.68,-26.32526,21.265345,-7.046818,-13.399455,1.644835,-17.266687,-7.716671
pong_1.wav,-201.89894,156.07198,-34.18318,6.2448635,-54.64543,30.938782,-19.888245,20.581963,-10.440298,-16.551275,1.2302697,-16.9804,-0.7288381
pong_1.wav,-230.2238,156.86513,-33.208683,2.3681312,-45.929367,28.993248,-16.551163,13.1443615,-9.416132,-19.497414,4.307076,-21.465942,1.0523922
pong_1.wav,-234.54529,155.38345,-31.711487,4.229871,-43.7293,28.11857,-19.493591,11.802259,-7.43336,-16.317173,9.173612,-20.129143,2.265579
pong_1.wav,-246.53737,158.1951,-33.73062,1.5431967,-39.847076,24.617043,-12.960016,11.53388,-7.587387,-14.398895,9.66497,-15.380353,-0.80905545
pong_1.wav,-259.36185,159.22922,-33.131096,-4.5921273,-39.293297,23.472605,-5.3612003,13.670074,-5.0178986,-12.824913,12.708622,-16.951452,-6.333029
pong_1.wav,-261.2949,159.33858,-32.824745,-5.2317815,-39.940712,24.149002,-7.8109055,10.91293,-4.2647476,-15.254055,12.82353,-19.419392,-1.5162433
pong_1.wav,-262.0158,168.58183,-35.54045,-9.991884,-40.247574,20.731117,-6.991582,11.213452,-4.0484843,-18.414091,6.3358603,-15.189524,3.1446455
pong_1.wav,-277.8719,164.595,-33.87537,-7.650511,-37.32074,15.404033,-7.820878,13.95565,-8.754004,-21.0988,3.2465472,-12.262702,4.9281797
pong_1.wav,-281.18613,167.70467,-27.224035,-7.563196,-36.007004,16.505661,-7.065047,7.407675,-15.395701,-18.955215,16.838718,-5.6685343,0.7572755
pong_1.wav,-284.8475,171.20177,-20.139652,-8.066754,-30.382908,20.341599,-1.8141944,5.966998,-14.739023,-17.326694,17.653076,-1.8867025,-0.085522234
pong_1.wav,-289.37494,166.71054,-28.946224,-13.395609,-33.955864,16.455513,0.8374545,8.742798,-9.849375,-18.638584,9.987962,-0.051342636,5.7071657
pong_1.wav,-291.52487,168.57031,-33.83026,-11.20808,-26.467678,16.60401,0.1967121,8.933474,-8.305604,-17.910038,6.936634,-2.812978,2.1791573
pong_1.wav,-293.55353,175.17691,-39.062943,-14.249228,-27.134003,14.094953,3.2242756,10.916543,-6.453279,-16.245003,3.096613,-10.29715,-4.168538
pong_1.wav,-299.1915,175.21234,-32.844955,-10.874006,-27.131306,12.0987,5.574324,11.432808,-7.365638,-19.098175,1.2974735,-12.420425,-0.8441006
pong_1.wav,-308.32718,169.78053,-32.61757,-8.837229,-16.997362,15.916534,6.938941,11.1909075,-5.4450316,-13.662052,9.973059,-4.4291267,-1.0600185
pong_1.wav,-313.30368,172.94312,-31.299953,-9.883692,-14.913331,13.980219,9.871833,11.693129,-5.0803394,-14.101984,10.329282,-1.0007654,-4.3328695
pong_1.wav,-321.90225,174.63245,-28.428207,-13.718243,-12.642868,15.826346,8.645379,11.432186,-8.274305,-19.129002,2.2321243,-4.7322693,-6.475661
pong_1.wav,-317.40945,182.40442,-24.454803,-18.685093,-13.843536,11.657021,3.1164908,2.2186508,-9.232641,-10.50888,3.3061285,-5.80949,-11.125321
pong_1.wav,-312.73703,184.97421,-27.248695,-18.295216,-15.604204,11.618124,11.497207,7.2450566,-7.327236,-7.314227,6.4129534,-0.63948023,-7.0718203
pong_1.wav,-319.71027,182.88644,-28.876377,-16.597738,-17.213804,8.581348,10.532264,9.721986,-7.3716526,-10.912119,0.07076317,-2.0561142,-3.135521
pong_1.wav,-325.67572,182.43367,-29.261036,-23.788475,-17.594286,6.4032354,8.255384,6.4923353,-9.291039,-9.321957,1.685082,-2.9702194,-1.7764896
pong_1.wav,-326.32803,181.0202,-24.992928,-23.667019,-14.177719,7.5874186,8.331604,4.993103,-10.080759,-8.644728,3.533856,-4.6652756,-4.2516665
pong_1.wav,-326.8775,182.38846,-22.810143,-21.086761,-11.021593,8.211623,6.467913,2.0216107,-12.098144,-6.305585,2.6639552,-8.090292,-8.853739
pong_1.wav,-327.66534,188.95807,-20.637133,-22.212643,-11.662513,3.4896233,8.160057,6.461892,-7.3522058,-4.0286217,7.18604,-4.5856586,-11.666155
pong_1.wav,-330.47357,189.19077,-22.931314,-23.774996,-10.400934,6.863632,12.640043,9.242981,-2.2366953,-6.5174065,9.099887,1.876918,-9.164203
pong_1.wav,-338.82516,183.79744,-20.017363,-20.32259,-10.522402,8.588868,17.38684,11.855502,-1.8519666,-7.3931427,9.203789,3.7763715,-8.250523
pong_1.wav,-339.00052,185.48975,-20.571363,-20.185263,-11.776192,5.194273,14.692595,9.803139,-6.9110575,-8.129919,7.201868,-1.9252124,-9.255933
pong_1.wav,-338.0466,185.60463,-21.255068,-22.030716,-10.732897,1.5383717,6.9077983,8.187359,-3.0975823,-5.9563866,1.295548,-5.565421,-10.122841
pong_1.wav,-349.857,176.56607,-25.89253,-26.372742,-11.470455,5.878296,12.136286,10.632573,-0.67333,-5.235555,-2.8739734,-4.8637466,-8.086985
pong_1.wav,-354.25708,172.97208,-20.729557,-20.350018,-7.3574743,8.186615,16.189926,11.368067,-2.275772,-6.809722,-1.9889336,-2.0613437,-7.9465456
pong_1.wav,-354.1161,175.54248,-18.331789,-20.969929,-8.549392,2.185006,10.321753,9.829735,-2.0476053,-3.3163314,-0.54258084,-2.858436,-11.008366
pong_1.wav,-354.11548,174.61183,-17.768677,-25.779886,-13.922861,-0.3332451,6.0623446,9.522577,3.004611,0.49704015,0.58084756,1.568089,-6.0525875
pong_1.wav,-355.5625,176.7787,-16.290644,-20.34721,-9.747384,5.9051857,5.073432,9.279521,0.23949222,-0.6141703,0.8064452,-2.9895973,-9.976836
pong_1.wav,-349.5933,179.8661,-12.696405,-15.136524,-6.593644,7.7255616,8.399786,7.6333284,-2.9656453,-4.5086765,2.3715072,-4.5647173,-7.2518296
pong_1.wav,-354.60852,177.90146,-12.929907,-15.276884,-6.442581,11.325937,14.446791,10.358366,-5.3703804,-2.5290825,4.606289,0.38915074,-1.6017632
pong_1.wav,-358.1307,174.17441,-15.435389,-21.255299,-12.992847,11.515719,18.811295,17.623024,-2.2857082,-2.7185836,1.5026162,-1.6587973,-3.3406794
pong_1.wav,-361.86777,170.26636,-14.882311,-20.306595,-11.301146,12.226556,15.620665,17.059849,-5.805561,-9.087345,-0.31101307,-2.8794458,-5.476464
pong_1.wav,-356.89764,169.05577,-17.94672,-23.129253,-9.436216,8.788304,8.537625,10.387182,-5.893133,-7.2110996,7.8882174,1.71587,-6.9544125
pong_1.wav,-353.41663,170.63629,-17.496494,-22.120693,-8.647758,8.9504795,13.536148,12.082024,-1.4659588,-3.925086,7.9530473,4.1914086,-8.836943
pong_1.wav,-357.52155,171.65851,-13.780085,-20.972998,-9.980601,6.350789,14.717923,14.823904,0.786178,-5.5805836,1.2409528,4.986658,-5.427228
